City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Carnarvon,0,AU,1595085672,66,-24.87,113.63,55.4,12.75
George Town,40,MY,1595085613,94,5.41,100.34,78.8,4.7
Hilo,90,US,1595085673,88,19.73,-155.09,72.0,5.82
Petukhovo,80,RU,1595085673,58,55.07,67.9,81.54,3.27
Hobart,24,AU,1595085447,66,-42.88,147.33,50.0,13.87
Hermanus,0,ZA,1595085674,77,-34.42,19.23,63.0,1.99
Palenque/Temp,5,MX,1595085675,74,17.52,-91.97,82.4,1.68
Nome,1,US,1595085676,81,64.5,-165.41,44.6,5.06
Dubai,0,AE,1595085384,38,25.26,55.3,104.0,10.29
Rikitea,66,PF,1595085678,80,-23.12,-134.97,72.66,18.77
San Cristobal,20,VE,1595085678,49,7.77,-72.22,89.6,18.34
Chui,100,UY,1595085679,88,-33.7,-53.46,64.09,6.91
Thompson,75,CA,1595085679,82,55.74,-97.86,62.6,9.17
Tuatapere,0,NZ,1595085680,85,-46.13,167.68,34.86,3.71
Saint George,1,US,1595085681,18,37.1,-113.58,86.0,4.7
Puerto Ayora,40,EC,1595085681,78,-0.74,-90.35,73.4,13.87
Upernavik,3,GL,1595085682,51,72.79,-56.15,48.81,6.13
Touros,90,BR,1595085682,94,-5.2,-35.46,75.2,8.05
Lebu,100,CL,1595085682,86,-37.62,-73.65,53.56,20.36
Esperance,90,AU,1595085683,93,-33.87,121.9,51.8,4.7
Ushuaia,75,AR,1595085683,92,-54.8,-68.3,30.2,5.82
Ghaziabad,75,IN,1595085684,75,28.67,77.43,89.6,5.82
Cherskiy,0,RU,1595085594,83,68.75,161.3,50.56,3.02
Kattivākkam,75,IN,1595085685,83,13.22,80.32,84.2,3.36
Almaznyy,40,RU,1595085685,53,48.04,40.05,77.0,13.42
Lata,0,PT,1595085686,41,40.16,-8.33,100.0,11.34
Fartura,0,BR,1595085686,54,-23.39,-49.51,77.99,5.12
Ponta do Sol,40,PT,1595085686,73,32.67,-17.1,79.0,11.41
Mataura,0,NZ,1595085688,95,-46.19,168.86,31.53,2.75
Gambēla,80,ET,1595085688,90,8.25,34.58,78.01,2.62
Vaini,75,TO,1595085689,88,-21.2,-175.2,73.4,8.05
Chokurdakh,0,RU,1595085593,72,70.63,147.92,43.72,11.16
Olinda,75,BR,1595085689,65,-8.01,-34.86,82.4,17.22
Port Alfred,0,ZA,1595085690,33,-33.59,26.89,71.33,10.22
Pareora,69,NZ,1595085691,97,-44.49,171.21,44.01,5.1
Yellowknife,20,CA,1595085620,63,62.46,-114.35,69.01,4.7
Hualmay,52,PE,1595085692,69,-11.1,-77.61,63.91,7.47
Mana,31,GF,1595085692,62,5.66,-53.78,86.05,7.78
Hithadhoo,100,MV,1595085693,81,-0.6,73.08,81.64,34.29
Merauke,62,ID,1595085546,84,-8.47,140.33,74.44,13.47
Ternate,0,ID,1595085507,76,0.8,127.4,81.0,2.89
Ilulissat,20,GL,1595085695,37,69.22,-51.1,53.6,5.82
New Norfolk,38,AU,1595085695,79,-42.78,147.06,44.01,3.83
Jamestown,1,US,1595085695,73,42.1,-79.24,82.0,4.7
Atuona,3,PF,1595085696,79,-9.8,-139.03,79.34,17.76
Agirish,47,RU,1595085696,64,61.92,63.02,76.21,5.3
Albion,40,US,1595085698,74,42.24,-84.75,82.0,8.05
Csökmő,75,HU,1595085698,88,47.03,21.3,66.2,6.8
Huanren,59,CN,1595085699,88,41.26,125.37,66.36,2.13
Saint-Philippe,75,RE,1595085699,68,-21.36,55.77,68.0,8.05
Mar del Plata,75,AR,1595085700,82,-38.0,-57.56,59.0,3.36
Anloga,20,GH,1595085700,70,5.79,0.9,84.2,12.75
Verāval,31,IN,1595085700,80,20.9,70.37,84.76,16.87
Saint-Joseph,75,RE,1595085701,68,-21.37,55.62,68.0,8.05
Te Anau,4,NZ,1595085701,92,-45.42,167.72,32.59,0.78
Bredasdorp,0,ZA,1595085702,63,-34.53,20.04,64.4,16.11
Ixtapa,20,MX,1595085703,74,20.7,-105.2,82.4,2.68
Quelimane,40,MZ,1595085704,64,-17.88,36.89,77.0,8.05
Hoshangābād,90,IN,1595085704,62,22.75,77.72,87.67,4.36
Castro,0,BR,1595085592,57,-24.79,-50.01,72.61,7.11
Bluff,0,NZ,1595085705,80,-46.6,168.33,36.99,7.07
Punta Arenas,75,CL,1595085706,74,-53.15,-70.92,35.6,13.87
Horsham,33,GB,1595085706,41,51.06,-0.33,77.0,9.17
Albany,0,US,1595085707,62,42.6,-73.97,81.0,1.16
Ambilobe,17,MG,1595085707,65,-13.2,49.05,71.8,1.3
Barrow,90,US,1595085707,93,71.29,-156.79,35.6,17.22
Paamiut,0,GL,1595085584,72,61.99,-49.67,47.14,12.39
Mahébourg,40,MU,1595085612,68,-20.41,57.7,69.8,12.75
Cidreira,41,BR,1595085709,70,-30.18,-50.21,71.83,10.11
Vancouver,20,CA,1595085518,77,49.25,-123.12,61.0,3.71
Saint Paul Harbor,90,US,1595085710,87,57.79,-152.41,55.4,3.36
Date,100,JP,1595085459,88,42.47,140.87,65.68,6.08
Lagoa,18,PT,1595085710,78,39.05,-27.98,69.85,11.83
City of San Pedro,100,PH,1595085711,58,14.35,121.02,86.0,4.7
Busselton,31,AU,1595085563,92,-33.65,115.33,51.01,7.61
Santa Elena,90,EC,1595085712,83,-2.23,-80.85,71.6,8.05
Marsh Harbour,61,BS,1595085713,79,26.54,-77.06,82.76,15.66
Isangel,98,VU,1595085713,70,-19.55,169.27,70.75,6.06
Toamasina,75,MG,1595085714,94,-18.17,49.38,68.0,9.17
East London,0,ZA,1595085598,29,-33.02,27.91,75.2,4.7
Faanui,90,PF,1595085714,84,-16.48,-151.75,75.45,23.13
Tacuarembó,97,UY,1595085715,75,-31.73,-55.98,70.5,10.13
Saint Anthony,1,US,1595085715,65,45.02,-93.22,80.01,9.17
Storforshei,58,NO,1595085716,59,66.4,14.52,66.0,6.58
Samarinda,100,ID,1595085697,92,-0.5,117.15,74.35,1.28
Tuktoyaktuk,90,CA,1595085717,93,69.45,-133.04,41.0,16.11
Luanda,0,AO,1595085717,78,-8.84,13.23,73.4,11.41
Los Algarrobos,20,PA,1595085718,78,8.5,-82.43,86.0,3.36
Lagan,0,RU,1595085719,33,45.39,47.37,89.11,11.95
Port Lincoln,20,AU,1595085719,78,-34.73,135.87,53.29,12.62
Mount Isa,0,AU,1595085720,33,-20.73,139.5,46.4,10.07
Rio Branco,0,BR,1595085720,55,-9.97,-67.81,86.0,3.36
Avarua,51,CK,1595085721,82,-21.21,-159.78,64.4,3.36
Pisco,40,PE,1595085721,68,-13.7,-76.22,64.4,6.93
Dikson,100,RU,1595085593,94,73.51,80.55,39.34,10.18
Harper,71,LR,1595085722,73,4.38,-7.72,80.13,9.89
Sorgun,0,TR,1595085663,36,39.81,35.19,81.25,11.23
Grand Gaube,1,MU,1595085612,70,-20.01,57.66,69.01,3.0
Utete,81,TZ,1595085723,50,-7.99,38.76,78.31,2.98
Wenling,100,CN,1595085724,49,28.37,121.36,84.0,13.89
Port Elizabeth,0,ZA,1595085601,34,-33.92,25.57,68.0,9.17
Lorengau,100,PG,1595085725,78,-2.02,147.27,81.14,7.2
Longyearbyen,75,SJ,1595085725,66,78.22,15.64,50.0,16.11
Āsmār,56,AF,1595085726,49,35.03,71.36,83.43,4.34
Pajapan,75,MX,1595085726,74,18.25,-94.7,84.2,5.82
Provideniya,96,RU,1595085594,86,64.38,-173.3,45.68,4.41
Kungurtug,1,RU,1595085728,71,50.6,97.52,52.02,2.48
Necochea,100,AR,1595085728,84,-38.55,-58.74,57.0,3.0
Sisimiut,95,GL,1595085729,51,66.94,-53.67,58.35,4.23
Praia da Vitória,40,PT,1595085730,78,38.73,-27.07,73.4,11.3
